language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,shortName,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,trailingAnnualDividendRate,trailingAnnualDividendYield,marketState,bookValue,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,ipoExpectedDate,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,priceHint,regularMarketChangePercent,displayName,symbol,epsTrailingTwelveMonths,prevName,nameChangeDate,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekChangePercent,sharesOutstanding,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,firstTradeDateMilliseconds,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,isEarningsDateEstimate,epsForward,epsCurrentYear,priceEpsCurrentYear,forwardPE,averageAnalystRating,earningsCallTimestampStart,earningsCallTimestampEnd,trailingPE,dividendDate,dividendRate,dividendYield,netExpenseRatio
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.026,0.026,Auddia Inc.,0.006000001,1738270800,0.026,0.026,0.026 - 0.026,0.026,4890,0.02,0.0,0.0,0.0,0.0,us_market,finmb_214702780,NasdaqCM,Auddia Inc.,USD,0.026,[],0.0,0.0,0.026 - 0.026,0.0,0.0,0.0,0.0,REGULAR,1.082,0.024029575,15,0,America/New_York,EST,-18000000,2021-02-17,False,False,False,True,4,30.000006,Auddia,AUUDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.08,0.0401,,0.0165,1738683580,0.0713,0.08,0.0401 - 0.08,0.0401,6300,0.0548,0.0729,0.0597,1.0,5.0,us_market,finmb_207278456,NasdaqCM,"LakeShore Biopharma Co., Ltd",CNY,0.0706,[],0.0312,0.77805483,0.0401 - 0.08,-0.008699998,-0.10874998,0.0,0.0,REGULAR,30.763,0.0023177194,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,30.10949,LakeShore Biopharma,LSBPW,,"YS Biopharma Co., Ltd.",2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NYQ,1.45,1.1762,,0.3642,1738684039,1.4192,1.45,1.1762 - 1.45,1.1762,480045,1.055,1.37,1.4,12.0,8.0,us_market,,NYSE,"BigBear.ai Holdings, Inc. WT",,1.15,[],0.24299991,0.20659743,1.1762 - 1.45,-0.030800104,-0.02124145,,,REGULAR,,,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,35.38327,,BBAI-WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0398,0.0398,Four Leaf Acquisition Corporati,0.0097,1738616400,0.0398,0.0398,0.0398 - 0.0398,0.0398,4780,0.0301,0.0,0.0,0.0,0.0,us_market,finmb_1800444253,NasdaqCM,Four Leaf Acquisition Corporation,USD,0.0398,[],0.0,0.0,0.0398 - 0.0398,0.0,0.0,0.0,0.0,REGULAR,-0.192,-0.20729166,15,0,America/New_York,EST,-18000000,2023-05-12,False,False,False,True,4,32.225914,Four Leaf,FORLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.2799,0.245,Sunshine Biopharma Inc. warrant,0.06990002,1738683658,0.2799,0.2799,0.245 - 0.2799,0.245,1201,0.21,0.0,0.0,0.0,0.0,us_market,finmb_78729055,NasdaqCM,"Sunshine Biopharma, Inc.",USD,0.26,[],0.03490001,0.14244902,0.245 - 0.2799,0.0,0.0,0.0,0.0,REGULAR,12.515,0.022365162,15,0,America/New_York,EST,-18000000,2022-02-15,False,False,False,True,4,33.381104,Sunshine Biopharma,SBFMW,-2.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0483,0.0483,Real Messenger Corporation Warr,0.0121,1738616400,0.0483,0.0483,0.0483 - 0.0483,0.0483,163,0.0362,,0.042,,1.0,us_market,finmb_1830964276,NasdaqCM,Real Messenger Corporation,,0.0462,[],0.0,0.0,0.0483 - 0.0483,0.0,0.0,0.0,0.0,REGULAR,,,15,0,America/New_York,EST,-18000000,2024-11-20,False,False,False,True,4,33.425415,Real Messenger,RMSGW,,Real Messenger Holdings Limited,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.0735,0.0521,,0.0132,1738683930,0.055,0.0735,0.0521 - 0.0735,0.0521,189763,0.0418,0.0,0.0,0.0,0.0,us_market,finmb_108179695,NasdaqCM,"Aclarion, Inc.",USD,0.0735,[],0.0029000007,0.055662204,0.0521 - 0.0735,-0.0185,-0.25170067,0.0,0.0,REGULAR,-0.882,-0.062358275,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,33.933163,Aclarion,ACONW,-6.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,18.0001,10.44,Western Acquisition Ventures Co,4.6,1738344436,18.0,18.0001,18.0 - 18.0001,18.0,13,13.4,5.0,0.0,0.0,0.0,us_market,finmb_1673572759,NasdaqCM,Western Acquisition Ventures Corp.,USD,18.0001,[],7.5600004,0.724138,10.44 - 18.0001,-9.918213e-05,-5.5100877e-06,0.0,0.0,REGULAR,-0.9,-20.0,15,0,America/New_York,EST,-18000000,2022-01-12,False,False,False,True,2,34.328358,Western Acquisition Ventures,WAVSU,,,,1115.0,250.0,24.53531,,12.064,5.936,0.49204242,11.3811,6.6189003,0.5815695,,1641997800000.0,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,ASE,0.026,0.0168,Neuberger Berman Real Estate Se,0.0045,1738684085,0.019,0.026,0.0168 - 0.026,0.0168,542588,0.0145,0.023,0.024,8.0,8.0,us_market,,NYSE American,,,0.022,[],0.0022,0.13095239,0.0168 - 0.026,-0.007000001,-0.2692308,,,REGULAR,,,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,31.034483,,NRO-RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0347,0.0347,,0.008899998,1738616400,0.0347,0.0347,0.0347 - 0.0347,0.0347,3500,0.0258,0.0,0.0,0.0,0.0,us_market,finmb_100147566,NasdaqCM,Carmell Corporation,USD,0.0347,[],0.0,0.0,0.0347 - 0.0347,0.0,0.0,0.0,0.0,REGULAR,1.072,0.0323694,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,34.496117,Carmell,CTCXW,,Alpha Healthcare Acquisition Corp. III,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
